MJD	sv	E1	E5	elevation
60544.79167	E10	-109.65	-110.02	48.2
60544.79167	E11	-109.06	-110.24	76.9
60544.79167	E12	-110.50	-110.00	24.0
60544.79167	E24	-110.17	-110.06	38.9
60544.79167	E25	-110.13	-109.94	79.5
60544.79514	E02	-108.81	-110.27	31.5
60544.79514	E10	-109.48	-110.17	46.6
60544.79514	E11	-109.47	-110.27	75.6
60544.79514	E12	-109.84	-110.66	22.4
60544.79514	E24	-108.99	-110.11	37.5
60544.79514	E25	-108.99	-110.01	81.0
60544.79861	E02	-109.47	-109.76	33.2
60544.79861	E10	-109.42	-110.11	44.8
60544.79861	E11	-109.15	-110.15	74.1
60544.79861	E12	-110.09	-111.00	20.8
60544.79861	E24	-110.02	-110.03	36.0
60544.79861	E25	-108.88	-110.06	82.4
60544.80208	E02	-108.81	-110.09	34.7
60544.80208	E10	-109.43	-110.14	43.1
60544.80208	E11	-109.17	-110.24	72.5
60544.80208	E12	-108.42	-110.72	19.2
60544.80208	E24	-108.80	-109.73	34.6
60544.80208	E25	-108.95	-110.08	83.5
60544.80556	E02	-109.61	-110.31	36.4
60544.80556	E10	-109.18	-110.34	41.5
60544.80556	E11	-109.03	-110.18	70.8
60544.80556	E12	-109.55	-110.56	17.6
60544.80556	E24	-109.91	-110.54	33.1
60544.80556	E25	-109.20	-109.96	84.1
60544.80903	E02	-109.31	-109.83	38.0
60544.80903	E10	-109.41	-110.13	39.8
60544.80903	E11	-109.44	-110.29	69.1
60544.80903	E12	-107.39	-110.82	16.1
60544.80903	E24	-109.56	-110.28	31.6
60544.80903	E25	-108.57	-109.88	84.2
60544.81250	E02	-110.29	-110.27	39.6
60544.81250	E10	-109.68	-110.23	38.1
60544.81250	E11	-109.34	-110.06	67.3
60544.81250	E12	-108.56	-110.67	14.6
60544.81250	E24	-110.54	-109.90	30.1
60544.81250	E25	-108.26	-109.80	83.6
60544.81597	E02	-109.27	-110.02	41.3
60544.81597	E10	-109.19	-110.38	36.4
60544.81597	E11	-109.44	-110.10	65.5
60544.81597	E12	-108.86	-109.23	13.0
60544.81597	E24	-110.09	-110.70	28.6
60544.81597	E25	-108.21	-109.84	82.6
60544.81944	E02	-109.35	-110.40	42.9
60544.81944	E10	-109.91	-110.15	34.8
60544.81944	E11	-109.42	-110.15	63.7
60544.81944	E12	-108.42	-111.27	11.5
60544.81944	E24	-109.67	-110.02	27.1
60544.81944	E25	-108.88	-110.28	81.2
60544.82292	E02	-108.97	-110.33	44.6
60544.82292	E10	-109.29	-110.11	33.1
60544.82292	E11	-109.88	-109.83	61.8
60544.82292	E12	-109.04	-112.35	10.4
60544.82292	E24	-109.96	-110.14	25.5
60544.82292	E25	-108.97	-110.15	79.6
60544.82639	E02	-108.99	-110.15	46.3
60544.82639	E10	-109.02	-110.14	31.5
60544.82639	E11	-109.14	-110.17	60.0
60544.82639	E24	-109.85	-109.81	24.0
60544.82639	E25	-108.36	-110.29	77.8
60544.82986	E02	-109.02	-110.30	48.0
60544.82986	E10	-111.73	-110.54	29.8
60544.82986	E11	-109.75	-110.21	58.2
60544.82986	E24	-109.79	-109.29	22.4
60544.82986	E25	-109.04	-110.13	76.0
60544.83333	E02	-108.93	-110.16	49.7
60544.83333	E10	-108.51	-110.19	28.2
60544.83333	E11	-109.65	-109.85	56.4
60544.83333	E24	-108.92	-109.79	20.9
60544.83333	E25	-109.25	-110.11	74.1
60544.83681	E02	-109.85	-110.88	51.3
60544.83681	E10	-107.80	-110.31	26.6
60544.83681	E11	-109.22	-110.27	54.6
60544.83681	E24	-109.31	-110.59	19.3
60544.83681	E25	-109.09	-110.10	72.2
60544.84028	E02	-109.94	-110.32	53.0
60544.84028	E10	-110.45	-109.99	25.1
60544.84028	E11	-109.27	-110.24	52.8
60544.84028	E24	-109.53	-110.14	17.7
60544.84028	E25	-109.28	-110.28	70.3
60544.84375	E02	-109.44	-110.54	54.7
60544.84375	E10	-110.12	-110.70	23.5
60544.84375	E11	-109.78	-109.95	51.0
60544.84375	E24	-109.74	-109.56	16.2
60544.84375	E25	-109.52	-109.88	68.3
60544.84722	E02	-109.25	-110.08	56.3
60544.84722	E10	-110.66	-110.43	22.0
60544.84722	E11	-110.22	-110.15	49.3
60544.84722	E24	-109.48	-110.19	14.6
60544.84722	E25	-109.10	-110.03	66.3
60544.85069	E02	-109.55	-109.77	57.9
60544.85069	E10	-110.18	-110.55	20.5
60544.85069	E11	-110.06	-110.18	47.6
60544.85069	E24	-110.31	-110.43	13.0
60544.85069	E25	-110.07	-110.10	64.3
60544.85417	E02	-109.66	-109.46	59.4
60544.85417	E10	-109.09	-110.75	19.1
60544.85417	E11	-109.74	-110.38	46.0
60544.85417	E24	-109.44	-110.79	11.5
60544.85417	E25	-109.38	-110.34	62.4
60544.85764	E02	-109.47	-109.77	60.9
60544.85764	E10	-108.54	-110.23	17.6
60544.85764	E11	-109.98	-110.05	44.3
60544.85764	E25	-109.63	-110.19	60.3
60544.85764	E30	-107.51	-112.27	10.3
60544.86111	E02	-108.69	-109.90	62.4
60544.86111	E10	-109.62	-110.33	16.1
60544.86111	E11	-110.22	-110.36	42.6
60544.86111	E25	-110.07	-110.19	58.2
60544.86111	E30	-108.54	-109.33	11.5
60544.86458	E02	-109.49	-110.13	63.8
60544.86458	E10	-108.65	-110.74	14.7
60544.86458	E11	-110.00	-110.47	40.9
60544.86458	E25	-109.30	-110.62	56.2
60544.86458	E30	-109.83	-109.45	12.9
60544.86806	E02	-108.22	-110.11	65.0
60544.86806	E10	-109.45	-111.79	13.3
60544.86806	E11	-109.89	-110.22	39.3
60544.86806	E25	-109.61	-110.43	54.1
60544.86806	E30	-108.46	-110.01	14.4
60544.87153	E02	-108.04	-110.19	66.1
60544.87153	E10	-108.86	-110.21	11.9
60544.87153	E11	-109.62	-110.24	37.8
60544.87153	E25	-109.26	-110.45	52.1
60544.87153	E30	-109.64	-109.34	15.9
60544.87500	E02	-108.29	-110.20	67.1
60544.87500	E10	-109.97	-110.91	10.7
60544.87500	E11	-109.22	-110.33	36.2
60544.87500	E25	-109.46	-110.16	50.1
60544.87500	E30	-108.52	-110.51	17.4
60544.87847	E02	-108.93	-110.10	67.9
60544.87847	E11	-109.68	-110.38	34.7
60544.87847	E25	-109.42	-109.85	48.0
60544.87847	E30	-108.40	-110.40	18.9
60544.88194	E02	-108.58	-109.63	68.5
60544.88194	E11	-110.12	-110.10	33.2
60544.88194	E25	-109.81	-110.46	46.0
60544.88194	E30	-109.77	-110.06	20.4
60544.88542	E02	-109.10	-109.81	68.9
60544.88542	E11	-109.98	-110.20	31.8
60544.88542	E25	-109.18	-109.95	44.0
60544.88542	E30	-109.26	-109.54	21.9
60544.88889	E02	-108.86	-109.93	69.0
60544.88889	E11	-109.77	-110.41	30.3
60544.88889	E25	-109.86	-109.77	42.0
60544.88889	E30	-108.37	-109.91	23.4
60544.89236	E02	-109.52	-110.02	69.0
60544.89236	E11	-108.98	-110.51	28.9
60544.89236	E25	-110.45	-110.78	40.0
60544.89236	E30	-108.81	-109.35	24.8
60544.89583	E02	-108.75	-110.09	68.6
60544.89583	E11	-109.28	-110.60	27.5
60544.89583	E25	-108.94	-110.40	38.0
60544.89583	E30	-109.36	-109.82	26.2
60544.89931	E02	-108.21	-110.26	68.0
60544.89931	E09	-110.82	-110.70	10.2
60544.89931	E11	-109.49	-109.91	26.2
60544.89931	E25	-110.06	-110.52	36.1
60544.89931	E30	-108.69	-110.84	27.6
60544.90278	E02	-108.72	-109.82	67.3
60544.90278	E09	-109.57	-111.11	11.1
60544.90278	E11	-110.00	-109.73	24.8
60544.90278	E25	-108.95	-109.53	34.1
60544.90278	E30	-108.83	-109.70	29.0
60544.90625	E02	-109.27	-110.09	66.3
60544.90625	E09	-108.53	-110.70	12.3
60544.90625	E11	-109.39	-110.95	23.5
60544.90625	E25	-109.44	-110.27	32.1
60544.90625	E30	-109.43	-110.17	30.3
60544.90972	E02	-109.73	-109.85	65.1
60544.90972	E09	-109.69	-110.71	13.5
60544.90972	E11	-108.48	-110.25	22.2
60544.90972	E25	-109.63	-110.32	30.2
60544.90972	E30	-108.42	-110.09	31.6
60544.91319	E02	-109.68	-110.01	63.8
60544.91319	E09	-110.14	-110.74	14.7
60544.91319	E11	-108.79	-110.28	21.0
60544.91319	E25	-109.12	-111.29	28.3
60544.91319	E30	-108.43	-110.93	32.9
60544.91667	E02	-109.90	-110.30	62.5
60544.91667	E09	-109.95	-110.58	15.8
60544.91667	E11	-109.60	-109.91	19.8
60544.91667	E25	-109.69	-111.20	26.5
60544.91667	E30	-108.95	-109.90	34.0
60544.92014	E02	-109.64	-110.09	61.0
60544.92014	E09	-111.01	-110.63	16.9
60544.92014	E11	-110.83	-110.95	18.6
60544.92014	E25	-109.67	-110.59	24.6
60544.92014	E30	-108.76	-109.70	35.2
60544.92361	E02	-108.87	-109.50	59.3
60544.92361	E09	-109.82	-110.11	18.1
60544.92361	E11	-109.10	-110.43	17.3
60544.92361	E25	-109.72	-110.00	22.7
60544.92361	E30	-109.16	-110.07	36.3
60544.92708	E02	-109.59	-110.07	57.6
60544.92708	E09	-108.36	-110.39	19.1
60544.92708	E11	-108.80	-110.28	16.2
60544.92708	E25	-110.85	-110.62	20.9
60544.92708	E30	-108.12	-110.95	37.3
60544.93056	E02	-109.45	-110.40	55.8
60544.93056	E09	-109.36	-109.74	20.2
60544.93056	E11	-108.99	-111.19	15.0
60544.93056	E25	-109.88	-110.54	19.1
60544.93056	E30	-108.38	-110.60	38.2
60544.93403	E02	-109.72	-110.23	54.1
60544.93403	E09	-110.03	-110.32	21.2
60544.93403	E11	-110.08	-111.06	13.9
60544.93403	E25	-109.43	-110.53	17.3
60544.93403	E30	-109.55	-110.57	39.1
60544.93750	E02	-109.89	-110.46	52.2
60544.93750	E05	-108.71	-110.26	13.7
60544.93750	E09	-109.86	-110.49	22.2
60544.93750	E11	-107.29	-110.86	12.8
60544.93750	E25	-109.06	-110.70	15.5
60544.93750	E30	-109.53	-110.90	39.8
60544.94097	E02	-109.88	-110.17	50.4
60544.94097	E05	-109.59	-110.35	15.1
60544.94097	E09	-110.20	-110.53	23.1
60544.94097	E11	-109.10	-111.71	11.7
60544.94097	E25	-109.10	-110.85	13.7
60544.94097	E30	-109.11	-110.25	40.5
60544.94444	E02	-109.79	-110.26	48.5
60544.94444	E05	-109.23	-110.53	16.7
60544.94444	E09	-109.54	-110.62	23.9
60544.94444	E11	-108.69	-110.41	10.6
60544.94444	E25	-109.26	-110.83	12.0
60544.94444	E30	-108.10	-109.97	41.1
60544.94792	E02	-109.87	-110.54	46.6
60544.94792	E05	-109.69	-110.35	18.2
60544.94792	E09	-109.94	-110.21	24.7
60544.94792	E25	-108.74	-109.85	10.6
60544.94792	E30	-108.72	-110.50	41.5
60544.95139	E02	-110.45	-110.39	44.7
60544.95139	E05	-109.57	-110.59	19.7
60544.95139	E09	-109.68	-110.30	25.5
60544.95139	E30	-108.80	-110.21	41.9
60544.95486	E02	-110.10	-109.93	42.8
60544.95486	E05	-109.16	-109.34	21.3
60544.95486	E09	-110.12	-110.36	26.2
60544.95486	E30	-109.37	-110.20	42.1
60544.95833	E02	-111.01	-110.29	40.9
60544.95833	E05	-109.70	-109.88	22.9
60544.95833	E09	-109.24	-109.95	26.8
60544.95833	E30	-109.47	-110.37	42.3
60544.96181	E02	-109.94	-110.32	39.0
60544.96181	E05	-109.94	-110.44	24.4
60544.96181	E09	-109.46	-110.08	27.3
60544.96181	E30	-109.49	-110.66	42.3
60544.96528	E02	-109.42	-109.64	37.1
60544.96528	E05	-110.44	-110.50	26.0
60544.96528	E09	-109.92	-110.06	27.7
60544.96528	E27	-110.01	-109.00	10.0
60544.96528	E30	-109.76	-110.05	42.2
60544.96875	E02	-109.64	-109.67	35.2
60544.96875	E05	-109.37	-110.44	27.6
60544.96875	E09	-109.82	-110.29	28.1
60544.96875	E27	-109.60	-109.61	10.5
60544.96875	E30	-109.77	-110.16	42.0
60544.97222	E02	-109.58	-110.06	33.4
60544.97222	E05	-109.30	-110.39	29.3
60544.97222	E09	-109.49	-109.90	28.4
60544.97222	E27	-110.14	-109.79	11.6
60544.97222	E30	-109.78	-110.78	41.6
60544.97569	E02	-108.85	-109.44	31.5
60544.97569	E05	-109.10	-110.30	30.9
60544.97569	E09	-109.83	-110.32	28.6
60544.97569	E27	-111.75	-111.20	12.6
60544.97569	E30	-108.97	-110.68	41.2
60544.97917	E02	-110.06	-109.96	29.8
60544.97917	E05	-109.65	-110.20	32.4
60544.97917	E09	-110.15	-110.40	28.7
60544.97917	E27	-111.25	-111.58	13.4
60544.97917	E30	-109.45	-109.99	40.7
60544.98264	E02	-109.69	-110.44	27.9
60544.98264	E05	-110.19	-109.99	34.0
60544.98264	E09	-110.07	-110.46	28.7
60544.98264	E27	-109.31	-109.53	14.3
60544.98264	E30	-109.93	-110.36	40.1
60544.98611	E02	-108.68	-109.59	26.1
60544.98611	E03	-110.04	-108.56	10.3
60544.98611	E05	-109.93	-110.51	35.6
60544.98611	E09	-110.81	-110.36	28.6
60544.98611	E15	-110.07	-110.10	20.2
60544.98611	E27	-111.10	-110.91	15.2
60544.98611	E30	-109.96	-109.99	39.3
60544.98958	E02	-110.10	-110.73	24.3
60544.98958	E03	-109.72	-110.39	11.5
60544.98958	E05	-109.42	-110.40	37.2
60544.98958	E09	-110.54	-109.95	28.5
60544.98958	E15	-110.69	-109.99	21.2
60544.98958	E27	-110.68	-110.92	15.9
60544.98958	E30	-108.96	-109.70	38.5
60544.99306	E02	-109.78	-110.26	22.5
60544.99306	E03	-110.38	-111.01	13.1
60544.99306	E05	-109.49	-109.64	38.7
60544.99306	E09	-109.61	-109.94	28.2
60544.99306	E15	-111.64	-109.92	22.2
60544.99306	E27	-109.58	-110.75	16.6
60544.99306	E30	-109.20	-110.14	37.6
60544.99653	E02	-109.79	-111.78	20.8
60544.99653	E03	-109.43	-110.47	14.8
60544.99653	E05	-109.03	-109.95	40.2
60544.99653	E09	-109.98	-110.01	27.9
60544.99653	E15	-110.64	-110.85	23.2
60544.99653	E27	-108.67	-109.90	17.2
60544.99653	E30	-109.33	-109.26	36.6
60545.00000	E02	-109.42	-110.30	19.6
60545.00000	E03	-110.68	-109.61	16.0
60545.00000	E05	-108.88	-110.70	41.3
60545.00000	E09	-110.61	-109.76	27.6
60545.00000	E15	-110.19	-110.32	23.9
60545.00000	E27	-110.69	-110.06	17.6
60545.00000	E30	-110.26	-109.57	35.9
